Month	Day	Year	T_avg	T_max	T_min	RH_avg	RH_max	RH_min	Precip	SVP	AVP	VPD
5	13	1992	16.6	26.1	8.3	77	100	45	0	1.889	1.455	0.435
5	14	1992	18.3	26.7	8.9	73	100	45	0	2.103	1.535	0.568
5	15	1992	20.2	26.7	10	69	100	44	0	2.367	1.633	0.734
5	16	1992	17.4	26.7	8.9	78	100	42	0	1.987	1.550	0.437
5	17	1992	18.2	27.8	10	64	100	26	0	2.090	1.338	0.752
5	18	1992	17.8	26.1	8.3	64	96	31	0	2.038	1.304	0.734
5	19	1992	14.8	21.1	8.3	69	100	39	0	1.684	1.162	0.522
5	20	1992	14	24.4	5.6	77	100	45	0	1.599	1.231	0.368
5	21	1992	18.3	28.3	6.7	58	100	23	0	2.103	1.220	0.883
5	22	1992	22.2	31.7	11.7	45	78	19	0	2.676	1.204	1.472
5	23	1992	19.4	31.1	9.4	62	88	31	0	2.253	1.397	0.856
5	24	1992	22.7	31.7	14.4	63	92	33	0	2.759	1.738	1.021
5	25	1992	21.5	30	12.8	71	100	42	0	2.564	1.821	0.744
5	26	1992	19.4	28.9	11.7	81	100	50	0	2.253	1.825	0.428
5	27	1992	21.9	31.7	10.6	69	100	37	0	2.628	1.813	0.815
5	28	1992	20	30.6	11.1	73	100	34	0	2.338	1.707	0.631
5	29	1992	20.8	33.3	11.1	74	100	34	0	2.457	1.818	0.639
5	30	1992	19.7	32.2	13.3	79	100	35	0	2.295	1.813	0.482
5	31	1992	22.1	33.3	13.3	73	100	38	0	2.660	1.942	0.718
6	1	1992	24.4	33.9	14.4	69	100	35	0	3.056	2.109	0.947
6	2	1992	23.1	34.4	13.9	72	100	36	0	2.826	2.035	0.791
6	3	1992	23.9	35.6	14.4	71	100	34	0	2.966	2.106	0.860
6	4	1992	23.3	35	13.9	70	100	34	0	2.861	2.003	0.858
6	5	1992	21.5	33.3	12.2	68	100	28	0	2.564	1.744	0.821
6	6	1992	17.6	26.1	11.1	79	100	49	0	2.013	1.590	0.423
6	7	1992	18.1	28.3	9.4	78	100	45	0	2.077	1.620	0.457
6	8	1992	19.9	31.1	10.6	74	100	37	0	2.324	1.720	0.604
6	9	1992	20.2	28.9	12.2	62	100	22	0	2.367	1.468	0.900
6	10	1992	18.3	27.8	9.4	50	88	23	0	2.103	1.052	1.052
6	11	1992	12.8	20.6	8.9	60	78	37	0	1.478	0.887	0.591
6	12	1992	10.7	18.9	3.9	72	100	36	0	1.287	0.926	0.360
6	13	1992	14.3	21.1	3.3	59	100	32	0	1.630	0.962	0.668
6	14	1992	13.6	22.2	5.6	70	100	45	0	1.558	1.090	0.467
6	15	1992	10.2	14.4	7.2	97	100	83	12.95	1.245	1.207	0.037
6	16	1992	14.5	25	5	82	100	48	0.25	1.651	1.354	0.297
6	17	1992	18.6	29.4	9.4	78	100	42	0	2.143	1.672	0.471
6	18	1992	19.2	28.3	10.6	76	100	43	0	2.225	1.691	0.534
6	19	1992	20.9	32.8	10.6	73	100	34	0	2.472	1.804	0.667
6	20	1992	24.3	36.1	13.3	58	100	21	0	3.038	1.762	1.276
6	21	1992	25.4	38.9	13.9	62	89	27	0	3.244	2.011	1.233
6	22	1992	23.1	31.7	15	66	99	33	0	2.826	1.865	0.961
6	23	1992	25.6	32.8	14.4	64	96	32	0	3.283	2.101	1.182
6	24	1992	20.4	27.2	15	77	100	51	1.02	2.397	1.846	0.551
6	25	1992	21.6	28.9	11.7	58	90	33	0	2.580	1.496	1.084
6	26	1992	19.8	29.4	10.6	68	100	33	0	2.309	1.570	0.739
6	27	1992	19.7	28.9	10.6	68	99	35	0	2.295	1.561	0.734
6	28	1992	15.2	18.9	11.1	80	100	57	2.29	1.727	1.382	0.345
6	29	1992	12	13.9	11.1	98	100	85	35.05	1.403	1.375	0.028
6	30	1992	14.3	20	8.9	82	100	53	1.78	1.630	1.337	0.293
7	1	1992	15.7	25	7.2	77	100	43	0	1.784	1.373	0.410
7	2	1992	17.9	27.8	8.9	74	100	38	0	2.051	1.518	0.533
7	3	1992	18.9	27.2	11.1	72	100	44	0	2.184	1.572	0.611
7	4	1992	16.2	23.3	9.4	66	100	45	0	1.842	1.215	0.626
7	5	1992	16.1	26.1	7.2	66	100	31	0	1.830	1.208	0.622
7	6	1992	17.3	27.2	8.3	66	99	32	0	1.975	1.303	0.671
7	7	1992	19.6	31.1	8.9	65	100	29	0	2.281	1.483	0.798
7	8	1992	22.1	32.2	10.6	48	92	16	0	2.660	1.277	1.383
7	9	1992	22.8	33.9	11.7	54	86	24	0	2.776	1.499	1.277
7	10	1992	23.6	32.8	15	59	89	34	0	2.913	1.719	1.194
7	11	1992	19.9	21.7	17.8	82	94	74	0	2.324	1.906	0.418
7	12	1992	18.9	24.4	15	90	100	68	0	2.184	1.965	0.218
7	13	1992	19.7	31.1	12.8	85	100	45	0	2.295	1.951	0.344
7	14	1992	22.8	32.2	14.4	74	100	40	0	2.776	2.054	0.722
7	15	1992	23.3	33.3	15	73	100	38	0	2.861	2.088	0.772
7	16	1992	24.6	35.6	15.6	71	100	35	0	3.093	2.196	0.897
7	17	1992	24.8	35	16.1	60	89	28	0	3.130	1.878	1.252
7	18	1992	23.9	32.8	14.4	53	89	18	0	2.966	1.572	1.394
7	19	1992	22.3	33.3	12.2	51	80	20	0	2.693	1.373	1.319
7	20	1992	20.1	30	11.1	61	87	34	0	2.353	1.435	0.918
7	21	1992	21.6	31.1	11.7	59	95	27	0	2.580	1.522	1.058
7	22	1992	18.8	27.2	11.1	58	92	28	0	2.170	1.259	0.911
7	23	1992	19.6	31.1	9.4	59	84	28	0	2.281	1.346	0.935
7	24	1992	20.8	32.2	10.6	62	93	31	0	2.457	1.523	0.934
7	25	1992	25.1	33.3	13.9	51	83	28	0	3.187	1.625	1.561
7	26	1992	22.9	35.6	12.8	54	87	19	0	2.792	1.508	1.285
7	27	1992	23.8	37.8	12.8	48	77	21	0	2.948	1.415	1.533
7	28	1992	25.1	38.3	14.4	46	69	20	0	3.187	1.466	1.721
7	29	1992	24.8	36.7	15	44	72	18	0	3.130	1.377	1.753
7	30	1992	23.2	35	13.3	48	72	22	0	2.844	1.365	1.479
7	31	1992	21.9	35	11.1	46	72	15	0	2.628	1.209	1.419
8	1	1992	22.3	35.6	11.7	41	63	15	0	2.693	1.104	1.589
8	2	1992	23.1	35.6	13.3	38	62	14	0	2.826	1.074	1.752
8	3	1992	21.9	34.4	11.7	34	59	9	0	2.628	0.893	1.734
8	4	1992	21.6	33.3	11.1	37	60	15	0	2.580	0.955	1.625
8	5	1992	21.9	33.9	11.7	46	75	14	0	2.628	1.209	1.419
8	6	1992	21	32.2	11.1	50	74	19	0	2.487	1.244	1.244
8	7	1992	21.8	31.1	11.7	50	74	27	0	2.612	1.306	1.306
8	8	1992	21.9	30.6	13.3	51	76	24	0	2.628	1.340	1.288
8	9	1992	22.6	34.4	12.2	55	83	26	0	2.742	1.508	1.234
8	10	1992	24.4	37.2	13.9	54	81	20	0	3.056	1.650	1.406
8	11	1992	27.1	38.9	15	47	72	21	0	3.586	1.686	1.901
8	12	1992	28.1	38.9	19.4	47	68	23	0	3.802	1.787	2.015
8	13	1992	26.4	37.8	17.8	50	81	19	0	3.442	1.721	1.721
8	14	1992	27.1	37.8	17.8	47	71	24	0	3.586	1.686	1.901
8	15	1992	28.6	37.8	19.4	47	66	27	0	3.914	1.840	2.074
8	16	1992	26.1	37.2	17.2	51	77	23	0	3.381	1.724	1.657
8	17	1992	25.7	37.8	16.7	45	69	20	0	3.302	1.486	1.816
8	18	1992	24.8	38.3	14.4	40	66	12	0	3.130	1.252	1.878
8	19	1992	25.5	38.9	15.6	36	63	14	0	3.263	1.175	2.089
8	20	1992	25.3	36.1	15.6	36	57	17	0	3.225	1.161	2.064
8	21	1992	20.6	28.9	12.2	36	63	14	0	2.427	0.874	1.553
8	22	1992	15.9	27.2	5.6	49	73	21	0	1.807	0.885	0.921
8	23	1992	19.3	31.7	10	37	55	18	0	2.239	0.828	1.410
8	24	1992	19.6	31.7	10	41	62	18	0	2.281	0.935	1.346
8	25	1992	20.1	32.8	9.4	44	62	19	0	2.353	1.035	1.318
8	26	1992	21.8	34.4	11.1	41	66	14	0	2.612	1.071	1.541
8	27	1992	22.9	36.7	11.7	38	57	14	0	2.792	1.061	1.731
8	28	1992	21.9	33.9	13.9	49	70	21	0	2.628	1.288	1.340
8	29	1992	21.5	32.2	14.4	53	76	20	0	2.564	1.359	1.205
8	30	1992	17.1	24.4	11.7	71	94	49	0	1.950	1.385	0.566
8	31	1992	17.8	27.2	9.4	71	100	35	0	2.038	1.447	0.591
9	1	1992	18.8	28.9	10	66	93	33	0	2.170	1.432	0.738
9	2	1992	18.7	28.9	10	63	97	27	0	2.157	1.359	0.798
9	3	1992	15.9	23.9	8.9	64	91	36	0	1.807	1.156	0.650
9	4	1992	17.9	28.9	6.7	65	100	30	0	2.051	1.333	0.718
9	5	1992	18.9	28.3	11.7	51	70	27	0	2.184	1.114	1.070
9	6	1992	14	28.3	10	61	70	29	0	1.599	0.975	0.623
9	7	1992	16.3	30.6	9.4	46	71	18	0	1.853	0.853	1.001
9	8	1992	22.8	33.9	10.6	39	62	19	0	2.776	1.082	1.693
9	9	1992	20.6	32.2	11.1	51	70	24	0	2.427	1.238	1.189
9	10	1992	18.9	28.9	11.1	56	82	21	0	2.184	1.223	0.961
9	11	1992	23.2	28.3	11.7	44	80	31	0	2.844	1.251	1.592
9	12	1992	21.2	30.6	11.1	48	72	23	0	2.518	1.209	1.309
9	13	1992	18.3	28.3	11.1	44	67	21	0	2.103	0.925	1.178
9	14	1992	19	26.7	10.6	36	66	12	0	2.197	0.791	1.406
9	15	1992	18.7	28.9	7.8	41	61	20	0	2.157	0.884	1.272
9	16	1992	22.4	31.1	8.9	39	65	18	0	2.709	1.057	1.653
9	17	1992	21	31.7	10	50	91	18	1.02	2.487	1.244	1.244
9	18	1992	18.3	32.8	11.1	54	74	23	0	2.103	1.136	0.967
9	19	1992	18.9	31.7	11.7	49	65	23	0	2.184	1.070	1.114
