ID	SPECIES	PLOT	DAY	CONCAVG
1CDF1	DF	1	54	4.65
1CDF2	DF	1	54	8.94
1CDF2	DF	1	54	7.51
1CDF3	DF	1	54	6.52
1CPP1	PP	1	54	6.57
1CPP2	PP	1	54	3.02
1CPP3	PP	1	54	3.33
1CSP1	SP	1	54	7.58
1CSP2	SP	1	54	5.16
1TDF2	DF	1	54	7.88
1TDF3	DF	1	54	10.60
1TPP2	PP	1	54	3.09
1TPP3	PP	1	54	14.14
1TSP1	SP	1	54	6.86
1TSP2	SP	1	54	20.66
2CDF1	DF	2	54	11.71
2CDF2	DF	2	54	12.40
2CDF3	DF	2	54	5.20
2CPP1	PP	2	54	4.76
2CPP3	PP	2	54	3.81
2CSP1	SP	2	54	10.29
2CSP3	SP	2	54	3.30
2TDF1	DF	2	54	5.20
2TDF2	DF	2	54	9.17
2TDF3	DF	2	54	5.71
2TPP1	PP	2	54	11.52
2TPP2	PP	2	54	8.22
2TPP2	PP	2	54	3.87
2TPP3	PP	2	54	3.91
2TSP1	SP	2	54	4.59
2TSP2	SP	2	54	0.58
2TSP3	SP	2	54	4.42
3CDF1	DF	3	54	9.72
3CDF2	DF	3	54	10.19
3CDF3	DF	3	54	9.68
3CPP1	PP	3	54	4.96
3CPP2	PP	3	54	5.50
3CPP3	PP	3	54	7.86
3CSP1	SP	3	54	18.24
3CSP2	SP	3	54	1.46
3CSP2	SP	3	54	8.32
3TDF1	DF	3	54	4.72
3TDF2	DF	3	54	7.51
3TDF3	DF	3	54	11.10
3TPP1	PP	3	54	8.97
3TPP2	PP	3	54	10.02
3TPP2	PP	3	54	5.10
3TPP3	PP	3	54	6.29
3TSP1	SP	3	54	15.32
3TSP2	SP	3	54	3.33
3TSP3	SP	3	54	6.12
1CDF1	DF	1	84	12.546
1CDF2	DF	1	84	16.064
1CDF3	DF	1	84	5.811
1CPP1	PP	1	84	7.583
1CPP2	PP	1	84	4.115
1CPP3	PP	1	84	10.726
1CSP2	SP	1	84	10.205
1TDF1	DF	1	84	10.157
1TDF2	DF	1	84	9.240
1TDF3	DF	1	84	11.456
1TPP1	PP	1	84	8.827
1TPP2	PP	1	84	9.620
1TPP3	PP	1	84	9.018
1TSP1	SP	1	84	10.415
1TSP2	SP	1	84	9.145
2CDF1	DF	2	84	9.111
2CDF2	DF	2	84	7.204
2CDF3	DF	2	84	5.666
2CPP1	PP	2	84	8.928
2CPP2	PP	2	84	6.635
2CPP3	PP	2	84	7.453
2CSP1	SP	2	84	4.728
2CSP2	SP	2	84	8.018
2CSP3	SP	2	84	5.315
2TDF1	DF	2	84	13.792
2TDF2	DF	2	84	4.196
2TDF3	DF	2	84	11.163
2TPP1	PP	2	84	13.149
2TPP2	PP	2	84	10.495
2TPP3	PP	2	84	6.833
2TSP1	SP	2	84	8.352
2TSP2	SP	2	84	8.867
2TSP3	SP	2	84	5.174
3CDF1	DF	3	84	14.766
3CDF2	DF	3	84	1.087
3CDF3	DF	3	84	17.624
3CPP1	PP	3	84	7.900
3CPP2	PP	3	84	10.166
3CPP3	PP	3	84	14.300
3CSP1	SP	3	84	11.561
3CSP2	SP	3	84	12.601
3CSP2	SP	3	84	3.608
3CSP3	SP	3	84	5.820
3TDF1	DF	3	84	7.117
3TDF2	DF	3	84	17.212
3TDF3	DF	3	84	10.950
3TPP2	PP	3	84	6.928
3TPP3	PP	3	84	1.244
3TSP1	SP	3	84	9.660
3TSP2	SP	3	84	3.257
3TSP3	SP	3	84	4.399
1CDF1	DF	1	129	46.856
1CDF2	DF	1	129	21.892
1CDF3	DF	1	129	6.122
1CPP1	PP	1	129	12.951
1CPP2	PP	1	129	6.986
1CPP3	PP	1	129	26.179
1CSP1	SP	1	129	8.376
1CSP2	SP	1	129	31.472
1TDF1	DF	1	129	10.102
1TDF2	DF	1	129	12.701
1TDF3	DF	1	129	6.920
1TPP1	PP	1	129	16.879
1TPP2	PP	1	129	22.607
1TPP3	PP	1	129	18.466
1TSP1	SP	1	129	17.065
1TSP2	SP	1	129	12.605
2CDF1	DF	2	129	7.620
2CDF2	DF	2	129	8.686
2CDF3	DF	2	129	3.585
2CPP1	PP	2	129	15.193
2CPP2	PP	2	129	14.559
2CPP3	PP	2	129	15.817
2CSP1	SP	2	129	18.581
2CSP2	SP	2	129	5.185
2CSP3	SP	2	129	37.050
2TDF1	DF	2	129	4.692
2TDF2	DF	2	129	28.463
2TDF3	DF	2	129	3.633
2TPP1	PP	2	129	7.967
2TPP2	PP	2	129	25.190
2TPP3	PP	2	129	4.221
2TSP1	SP	2	129	22.522
2TSP2	SP	2	129	2.630
2TSP3	SP	2	129	48.580
3CDF1	DF	3	129	51.309
3CDF2	DF	3	129	49.675
3CDF3	DF	3	129	48.767
3CPP1	PP	3	129	8.902
3CPP2	PP	3	129	12.408
3CPP3	PP	3	129	12.182
3CSP1	SP	3	129	39.878
3CSP2	SP	3	129	35.478
3CSP3	SP	3	129	37.206
3TDF1	DF	3	129	10.441
3TDF2	DF	3	129	19.283
3TDF3	DF	3	129	18.530
3TPP1	PP	3	129	44.743
3TPP2	PP	3	129	50.229
3TPP3	PP	3	129	31.363
3TSP1	SP	3	129	35.488
3TSP2	SP	3	129	8.393
3TSP3	SP	3	129	36.031
1CDF1	DF	1	167	0.000
1CDF3	DF	1	167	1.794
1CDF3	DF	1	167	1.908
1CPP1	PP	1	167	0.545
1CPP2	PP	1	167	0.916
1CPP3	PP	1	167	0.646
1CSP1	SP	1	167	0.110
1CSP2	SP	1	167	0.289
1TDF1	DF	1	167	2.010
1TDF2	DF	1	167	1.394
1TDF3	DF	1	167	0.438
1TPP1	PP	1	167	0.646
1TPP2	PP	1	167	0.499
1TPP3	PP	1	167	0.312
1TSP1	SP	1	167	0.617
1TSP2	SP	1	167	0.496
2CDF1	DF	2	167	0.194
2CDF2	DF	2	167	0.254
2CDF3	DF	2	167	0.797
2CPP1	PP	2	167	0.557
2CPP2	PP	2	167	2.350
2CPP3	PP	2	167	11.684
2CSP1	SP	2	167	0.412
2CSP2	SP	2	167	1.138
2CSP3	SP	2	167	0.451
2TDF1	DF	2	167	1.097
2TDF2	DF	2	167	0.483
2TDF3	DF	2	167	1.041
2TPP1	PP	2	167	0.486
2TPP2	PP	2	167	1.472
2TPP3	PP	2	167	0.478
2TSP1	SP	2	167	0.397
2TSP2	SP	2	167	1.151
2TSP3	SP	2	167	0.314
3CDF1	DF	3	167	3.823
3CDF3	DF	3	167	4.216
3CPP1	PP	3	167	0.599
3CPP2	PP	3	167	0.515
3CPP3	PP	3	167	1.814
3CSP1	SP	3	167	0.433
3CSP2	SP	3	167	0.275
3CSP3	SP	3	167	0.166
3TDF1	DF	3	167	2.334
3TDF2	DF	3	167	3.663
3TDF3	DF	3	167	3.453
3TPP1	PP	3	167	0.577
3TPP2	PP	3	167	0.561
3TPP3	PP	3	167	1.818
3TSP1	SP	3	167	0.708
3TSP2	SP	3	167	0.237
3TSP3	SP	3	167	0.959
1CDF1	DF	1	205	0.104
1CDF2	DF	1	205	5.549
1CDF3	DF	1	205	7.973
1CPP1	PP	1	205	3.187
1CPP2	PP	1	205	2.616
1CPP3	PP	1	205	4.764
1CSP1	SP	1	205	3.379
1CSP2	SP	1	205	7.395
1TDF1	DF	1	205	4.146
1TDF2	DF	1	205	6.273
1TDF3	DF	1	205	2.792
1TPP1	PP	1	205	1.588
1TPP2	PP	1	205	1.951
1TPP3	PP	1	205	4.657
1TSP1	SP	1	205	3.666
1TSP2	SP	1	205	2.274
2CDF1	DF	2	205	1.661
2CDF2	DF	2	205	1.618
2CDF3	DF	2	205	5.712
2CPP1	PP	2	205	1.733
2CPP2	PP	2	205	13.258
2CPP3	PP	2	205	3.677
2CSP1	SP	2	205	9.522
2CSP2	SP	2	205	7.065
2CSP3	SP	2	205	1.063
2TDF1	DF	2	205	5.958
2TDF2	DF	2	205	4.117
2TPP1	PP	2	205	2.182
2TPP2	PP	2	205	2.891
2TPP3	PP	2	205	4.345
2TSP1	SP	2	205	1.907
2TSP2	SP	2	205	3.004
2TSP3	SP	2	205	3.473
3CDF1	DF	3	205	-0.333
3CDF2	DF	3	205	-0.237
3CDF3	DF	3	205	6.938
3CPP1	PP	3	205	3.293
3CPP2	PP	3	205	1.523
3CPP3	PP	3	205	2.773
3CSP1	SP	3	205	2.224
3CSP2	SP	3	205	7.111
3CSP3	SP	3	205	4.162
3TDF1	DF	3	205	4.098
3TDF2	DF	3	205	9.031
3TDF3	DF	3	205	9.816
3TPP1	PP	3	205	5.355
3TPP2	PP	3	205	-0.294
3TPP3	PP	3	205	-0.103
3TSP1	SP	3	205	2.791
3TSP2	SP	3	205	0.524
3TSP3	SP	3	205	0.208
1CDF1	DF	1	244	0.488
1CDF2	DF	1	244	0.843
1CDF3	DF	1	244	0.304
1TPP1	PP	1	244	0.184
1TPP2	PP	1	244	0.017
1TPP3	PP	1	244	-0.088
1CPP1A	PP	1	244	-0.032
1CPP1B	PP	1	244	-0.025
1CPP3	PP	1	244	0.140
1TSP1	SP	1	244	0.734
1TDF1	DF	1	244	0.489
1TDF2	DF	1	244	0.242
1TDF3	DF	1	244	0.129
1CSP1	SP	1	244	0.007
2CDF1	DF	2	244	0.124
2CDF2	DF	2	244	-0.037
2TDF1	DF	2	244	-0.052
2TDF2	DF	2	244	-0.060
2TDF3	DF	2	244	-0.120
2TSP1	SP	2	244	0.107
2TSP2	SP	2	244	0.508
2TSP3	SP	2	244	0.186
2CPP1	PP	2	244	-0.198
2CPP2	PP	2	244	-0.245
2CPP3	PP	2	244	-0.360
2TPP1	PP	2	244	-0.146
2TPP2	PP	2	244	-0.100
2TPP3	PP	2	244	-0.109
2CSP1	SP	2	244	0.192
2CSP2A	SP	2	244	0.056
2CSP2B	SP	2	244	0.148
2CSP3	SP	2	244	-0.003
3TDF1	DF	3	244	0.824
3TDF2	DF	3	244	2.635
3TDF3	DF	3	244	0.128
3TPP1	PP	3	244	0.106
3TPP2	PP	3	244	0.005
3TPP3	PP	3	244	0.890
3CSP1	SP	3	244	0.407
3CSP2	SP	3	244	0.077
3CSP3	SP	3	244	0.070
3TSP1	SP	3	244	0.451
3TSP2	SP	3	244	0.305
3TSP3	SP	3	244	0.573
3CDF1	DF	3	244	2.368
3CDF2	DF	3	244	2.213
3CDF3	DF	3	244	1.031
3CPP1	PP	3	244	0.363
3CPP2	PP	3	244	0.311
3CPP3	PP	3	244	0.529
1TSP2	SP	1	244	0.610
2CDF3	DF	2	244	0.338
2CPP2	PP	2	306	0.421
2TDF2	DF	2	306	0.436
1TSP2	SP	1	306	2.075
1TDF3	DF	1	306	0.873
1TDF2	DF	1	306	0.613
3TPP2	PP	3	306	1.424
1TPP1	PP	1	306	0.528
1TPP3	PP	1	306	0.651
2TPP2	PP	2	306	0.617
3TSP1	SP	3	306	1.655
3CSP2	SP	3	306	1.537
2CDF1	DF	2	306	0.384
3CSP3	SP	3	306	2.387
1CSP2	SP	1	306	2.148
2CDF2	DF	2	306	0.672
2TSP2	SP	2	306	3.700
3TPP1	PP	3	306	1.010
2TDF1	DF	2	306	1.192
3TPP3	PP	3	306	1.452
3TDF3	DF	3	306	6.067
3CPP2	PP	3	306	0.685
2CDF3	DF	2	306	1.473
2TPP3	PP	2	306	1.170
3CPP3	PP	3	306	0.797
3CPP1	PP	3	306	0.321
2TSP1	SP	2	306	1.325
2CSP1	SP	2	306	2.014
3CDF2	DF	3	306	3.246
3TSP2	SP	3	306	1.229
2CPP3	PP	2	306	0.740
2CPP1	PP	2	306	0.460
2TPP1	PP	2	306	1.424
1TPP2	PP	1	306	0.670
3CDF1	DF	3	306	4.260
1TSP1	SP	1	306	2.028
2TSP3	SP	2	306	0.844
1CSP1	SP	1	306	1.228
1CDF2	DF	1	306	2.368
1CPP3	PP	1	306	0.029
1CPP1	PP	1	306	1.178
3TSP3	SP	3	306	2.528
2CSP3	SP	2	306	0.677
3CDF3	DF	3	306	3.608
2TDF3	DF	2	306	0.294
2CSP2	SP	2	306	1.226
1TDF1	DF	1	306	1.171
1CDF1	DF	1	306	1.953
1CPP2	PP	1	306	0.181
3CSP1	SP	3	306	2.081
3TDF1	DF	3	306	3.982
1CDF3	DF	1	306	0.776
3TDF2	DF	3	306	1.925
2CDF2	DF	2	360	0.095
2TDF2	DF	2	360	0.053
1CDF1	DF	1	360	2.427
2TDF3	DF	2	360	0.235
2CDF1	DF	2	360	0.382
3TDF3	DF	3	360	4.866
2CPP1	PP	2	360	0.191
2CPP2	PP	2	360	0.107
3TPP3	PP	3	360	0.250
3TPP1	PP	3	360	0.639
3CPP1	PP	3	360	-0.168
2CPP3	PP	2	360	0.744
3CPP2	PP	3	360	0.185
2TPP2	PP	2	360	0.189
1CPP1	PP	1	360	0.507
1CPP2	PP	1	360	-0.099
1CDF3	DF	1	360	1.836
3CDF3	DF	3	360	5.994
2CDF3	DF	2	360	0.881
3TDF1	DF	3	360	0.752
3TSP2	SP	3	360	2.123
2TSP2	SP	2	360	2.413
2TPP3	PP	2	360	0.630
1TPP2	PP	1	360	0.700
1TPP1	PP	1	360	0.976
2CSP1	SP	2	360	1.570
3TDF3	DF	3	360	3.407
2TSP1	SP	2	360	2.318
2CSP3	SP	2	360	1.322
1CPP3	PP	1	360	1.141
