ID	SPECIES	PLOT	DAY	CONCAVG
3TDF1	DF	3	54	15.35248042
2TDF1	DF	2	54	10.82202112
1CDF1	DF	1	54	29.27085
1CDF2	DF	1	54	26.06916
1CDF3	DF	1	54	30.6647
2CDF1	DF	2	54	29.17544
1TDF2	DF	1	54	38.77645
2TDF2	DF	2	54	37.21638
3TDF2	DF	3	54	42.4096
3TDF3	DF	3	54	27.15046
2CDF2	DF	2	54	18.2744903
2TDF3	DF	2	54	35.64650519
2CDF3	DF	2	54	31.86275862
3CDF1	DF	3	54	27.52234664
3CDF3	DF	3	54	38.37024155
3CDF2	DF	3	54	27.87696911
1TDF3	DF	1	54	34.91904311
2TDF2	DF	2	54	18.62582781
2TPP1	PP	2	54	22.6481289
2TPP2	PP	2	54	20.45799595
2CPP1	PP	2	54	38.5336
2CPP3	PP	2	54	33.2696
3CPP1	PP	3	54	15.3552
3CPP2	PP	3	54	26.963
3CPP3	PP	3	54	30.0798
1TPP2	PP	1	54	25.61485
1TPP3	PP	1	54	20.58402
3TPP2	PP	3	54	30.41335
3TPP3	PP	3	54	14.50975
1CPP2	PP	1	54	33.91006979
1CPP3	PP	1	54	23.12310757
2TPP1	PP	2	54	35.66774704
3TPP2	PP	3	54	50.46582677
2TPP3	PP	2	54	32.07684211
2CPP2	PP	2	54	29.45950413
3TPP1	PP	3	54	30.47633543
1CPP1	PP	1	54	29.2728146
3TSP1	SP	3	54	38.0163182
3CSP1	SP	3	54	22.68844221
1CSP1	SP	1	54	38.45655
1CSP2	SP	1	54	NA
2CSP3	SP	2	54	48.7619
3CSP2	SP	3	54	24.7716
1TSP1	SP	1	54	37.58992
1TSP2	SP	1	54	72.5716
2TSP2	SP	2	54	48.87615
2TSP3	SP	2	54	41.33565
3TSP2	SP	3	54	34.93765
2CSP1	SP	2	54	29.33976261
3CSP2	SP	3	54	41.62883015
3TSP3	SP	3	54	32.07481916
2TSP1	SP	2	54	37.24682081
2CDF2	DF	2	84	16.133
2TDF1	DF	2	84	22.13068
3TDF3	DF	3	84	30.1782
2TDF2	DF	2	84	18.75224
3CDF1	DF	3	84	23.78194
2TDF3	DF	2	84	29.2734
2CDF1	DF	2	84	21.77435
1TDF2	DF	1	84	28.3699
3TDF2	DF	3	84	33.66441
1CDF1	DF	1	84	29.05994
1TDF3	DF	1	84	37.29435
1CDF2	DF	1	84	31.68309
3CDF3	DF	3	84	49.52051
1TDF1	DF	1	84	53.87722
2CDF3	DF	2	84	31.50061
3TDF1	DF	3	84	40.1196
1CDF3	DF	1	84	31.2488
3CDF2	DF	3	84	35.5636
3CPP1	PP	3	84	11.63474
3TPP2	PP	3	84	15.90524
1CPP3	PP	1	84	19.53042
1CPP1	PP	1	84	21.59924
2TPP2	PP	2	84	22.4068
2TPP1	PP	2	84	26.43641
3CPP3	PP	3	84	26.29185
1CPP2	PP	1	84	28.47832
1TPP3	PP	1	84	21.28646
2CPP1	PP	2	84	16.66054
3CPP2	PP	3	84	26.75613
2TPP3	PP	2	84	37.61369
2CPP2	PP	2	84	20.0728
1TPP2	PP	1	84	22.5656
3TPP3	PP	3	84	16.8036
2CPP3	PP	2	84	19.9928
3CSP1	SP	3	84	24.69298
1TSP1	SP	1	84	37.1059
2TSP2	SP	2	84	20.4984
1CSP2	SP	1	84	26.93262
2TSP1	SP	2	84	21.01541
2TSP3	SP	2	84	21.66593
3TSP1	SP	3	84	43.74747
1TSP2	SP	1	84	46.05339
1CSP2	SP	1	84	57.50401
2CSP3	SP	2	84	33.21136
2CSP1	SP	2	84	29.37928
3CSP2	SP	3	84	25.6744
3TSP3	SP	3	84	58.5044
3CSP2	SP	3	84	15.6512
2CSP2	SP	2	84	17.3664
3CSP3	SP	3	84	15.7316
3TSP2	SP	3	84	25.1384
2TDF2	DF	2	129	32.2812
3TSP1	SP	3	129	66.17205
3TSP3	SP	3	129	54.22095
3TPP1	PP	3	129	49.7007
2CSP3	SP	2	129	53.4051
3TPP2	PP	3	129	32.9868
3CSP2	SP	3	129	42.8652
3CSP1	SP	3	129	40.2192
2CSP2	SP	2	129	27.5184
1TPP2	PP	1	129	41.5863
3TSP2	SP	3	129	28.4004
2CSP1	SP	2	129	38.34495
3TPP3	PP	3	129	39.88845
2TPP2	PP	2	129	38.4993
1TSP2	SP	1	129	34.0011
3CSP3	SP	3	129	29.6793
1CSP1	SP	1	129	14.9499
2TPP3	PP	2	129	36.66915
2CPP3	PP	2	129	20.04345
1TSP1	SP	1	129	24.89445
1CDF2	DF	1	129	43.37235
1TPP1	PP	1	129	36.603
1CDF1	DF	1	129	56.02905
1CDF3	DF	1	129	53.802
1TDF1	DF	1	129	70.3395
1TPP3	PP	1	129	48.17925
1CSP2	SP	1	129	53.361
2TPP1	PP	2	129	34.68465
1TDF3	DF	1	129	45.0261
2CPP1	PP	2	129	26.7687
2CPP2	PP	2	129	26.34975
1CPP3	PP	1	129	16.758
3CPP1	PP	3	129	21.2121
3CPP3	PP	3	129	24.3432
3CPP2	PP	3	129	29.7675
3CDF2	DF	3	129	30.40695
2TDF3	DF	2	129	21.23415
1CPP2	PP	1	129	33.3396
2TDF1	DF	2	129	29.48085
2TSP2	SP	2	129	42.84315
1CPP1	PP	1	129	43.9677
2TSP3	SP	2	129	33.075
3CDF3	DF	3	129	39.7341
3CDF1	DF	3	129	18.9189
2CDF1	DF	2	129	32.34735
2TSP1	SP	2	129	33.6042
3TDF3	DF	3	129	39.49155
2CDF3	DF	2	129	46.305
3TDF1	DF	3	129	39.8223
2CDF2	DF	2	129	37.68345
1TDF2	DF	1	129	50.0094
3TDF2	DF	3	129	48.6864
1CDF1	DF	1	167	19.64439638
1CDF2	DF	1	167	17.46465524
1CDF3	DF	1	167	29.22039841
1CPP3	PP	1	167	21.70448289
1CSP1	SP	1	167	10.22784359
1CSP2	SP	1	167	26.91512214
1TPP2	PP	1	167	20.82026211
1TPP3	PP	1	167	21.5351151
1TSP1	SP	1	167	31.12788558
1TSP2	SP	1	167	17.91042735
2CDF1	DF	2	167	18.59016013
2CDF2	DF	2	167	30.02893287
3CDF3	DF	3	167	20.40684964
2CPP2	PP	2	167	26.15048837
2CPP3	PP	2	167	16.05604715
2CSP1	SP	2	167	32.81558594
2CSP2	SP	2	167	15.53832037
2CSP3	SP	2	167	24.09145562
2TDF1	DF	2	167	44.81602524
2TDF2	DF	2	167	23.78592798
2TPP1	PP	2	167	15.98541176
2TPP2	PP	2	167	29.46735849
