BRANCH_ID	TREE	SPECIES	TIME	WP	Kh	RWCXYL
1DFA	1	DF	0	0.728571429	0.98541875	0.801021426
1DFB	1	DF	0	0.9	0.77380639	0.76635425
1DFC	1	DF	0	0.857142857	1.806951632	0.783552432
2DFA	2	DF	0	0.892857143	0.568679519	0.802468455
2DFB	2	DF	0	0.878571429	0.533417557	0.761034708
2DFC	2	DF	0	1	0.438696473	0.688609156
1DFA	1	DF	1	2.728571429	0.883204873	0.855918041
1DFB	1	DF	1	3.5	0.415962563	0.710280374
1DFC	1	DF	1	2.964285714	0.79855003	0.868309495
2DFA	2	DF	1	3.028571429	0.688917197	0.764951321
2DFB	2	DF	1	3.321428571	0.489773389	0.744857131
2DFC	2	DF	1	3.45	0.374591152	0.655429975
1DFA	1	DF	2	4.5	0.100318471	0.619206939
1DFB	1	DF	2	7.5	0.010133568	0.352403344
1DFC	1	DF	2	6.5	0.032658493	0.395183361
2DFA	2	DF	2	8.642857143	0.01087601	0.283632089
2DFB	2	DF	2	8.928571429	0.010107149	0.28855504
2DFC	2	DF	2	9.071428571	0.006122094	0.292195309
1PPA	1	PP	0	0.571428571	1.993392956	0.89884453
1PPB	1	PP	0	0.821428571	1.27920739	0.892393252
1PPC	1	PP	0	0.678571429	0.567408041	0.825412163
3PPA	3	PP	0	NA	0.741047961	0.777108922
3PPB	3	PP	0	NA	0.587912824	0.849473225
1PPA	1	PP	1	NA	1.157680445	0.872479807
1PPC	1	PP	1	3.135714286	NA	0.785510136
2PPA	2	PP	1	3	NA	0.653077143
3PPA	3	PP	1	2.607142857	0.803626916	0.840485634
3PPB	3	PP	1	2.821428571	0.540718754	0.843946349
1PPA	1	PP	2	3.928571429	0.527373405	0.738177624
1PPB	1	PP	2	3.714285714	0.513327762	0.749937547
1PPC	1	PP	2	3.785714286	0.332014288	0.67080038
2PPA	2	PP	2	4	0.360934183	0.619259259
3PPA	3	PP	2	5.5	0.353930685	0.696463473
3PPB	3	PP	2	3.571428571	0.372312171	0.825190011
1PPA	1	PP	3	4.357142857	0.187947115	0.59712031
1PPB	1	PP	3	5.178571429	0.388908287	0.67608975
1PPC	1	PP	3	6.428571429	0.312370354	0.474095476
2PPA	2	PP	3	5.357142857	0.092986786	0.410939092
3PPA	3	PP	3	4.642857143	0.118439754	0.522981044
3PPB	3	PP	3	5.178571429	0.151301296	0.58242056
3PPB	3	PP	3	8.000	0.02	0.4
1SPA	1	SP	0	0.892857143	1.202968656	0.781657049
1SPB	1	SP	0	0.785714286	0.808816095	0.768643815
1SPC	1	SP	0	0.75	0.410055403	0.718201607
2SPA	2	SP	0	0.964285714	0.716297536	0.710666512
2SPB	2	SP	0	0.892857143	1.534801627	0.838604916
2SPC	2	SP	0	0.75	0.629079185	0.788370893
1SPA	1	SP	1	2.928571429	1.089924541	0.782112336
1SPB	1	SP	1	2.321428571	0.559926298	0.813984613
1SPC	1	SP	1	2.5	0.636185312	0.702106452
2SPA	2	SP	1	2.75	0.621206955	0.773847803
2SPB	2	SP	1	2.25	1.163415332	0.833171504
2SPC	2	SP	1	NA	0.862689121	0.78959736
1SPA	1	SP	2	4	0.199295059	0.506666667
1SPB	1	SP	2	3.642857143	0.157883495	0.548916612
2SPA	2	SP	2	4.357142857	0.061335221	0.392734106
2SPB	2	SP	2	3.535714286	0.64367702	0.778838931
2SPC	2	SP	2	3.857142857	0.307422615	0.498189193
1SPA	1	SP	3	8.785714286	0.006190139	0.286997346
1SPB	1	SP	3	8.214285714	0.011286226	0.288650581
2SPA	2	SP	3	8.928571429	0.005404226	0.274008522
2SPB	2	SP	3	6.071428571	0.01353981	0.357137571
2SPC	2	SP	3	7.428571429	0.010746013	0.259181532
