day	Tavg	Tmax	Tmin	P15	P30	P45	P50	P60	VPD5	VPD15	VPD30	VPD45	VPD60
24	4.930769231	8.876923077	2.469230769	4.06	4.06	4.06	NA	72.37	0.253371785	0.562811969	0.562811969	0.562811969	0.562811969
54	8.605	12.925	5.61	230.62	516.87	537.95	NA	542.01	0.623778356	0.347534091	0.397291927	0.397291927	0.397291927
84	9.084210526	13.79473684	5.1	46.23	278.37	503.92	NA	587.73	0.882646355	0.93455335	0.623856173	0.525358146	0.506917689
129	15.33809524	20.5047619	10.41904762	40.39	44.71	95.5	NA	109.98	0.383014666	0.713334508	0.846530898	0.676461882	0.737715506
167	20.9	26.05714286	15.6952381	0	3.81	16.26	NA	48.77	1.225990098	1.747887865	1.465051138	1.319385698	1.198074148
205	25.02380952	30.57619048	19.84285714	0	0	0	NA	0	1.254916583	1.701677935	1.867968354	1.804578041	1.784212368
244	23.47142857	29.30952381	18.44285714	0	0	9.4	NA	9.4	1.937421798	1.684638833	1.700229123	1.803312081	1.910818829
306	12.90952381	18.65238095	9.023809524	82.8	94.74	114.29	NA	114.29	0.560331158	0.528136617	1.054822425	0.99642607	1.298330801
360	5.244444444	10.07777778	2.033333333	202.68	423.4	497.06	NA	545.07	0.314586497	0.142641138	0.194844371	0.251678004	0.384113884
420	10.49047619	16.11428571	6.29047619	0.25	171.75	174.29	NA	174.29	0.740431592	0.79339951	0.738072478	0.689940722	0.685148008
466	10.68571429	16.23809524	5.60952381	25.9	35.8	55.1	NA	55.1	0.329632586	0.725439513	0.748692014	0.728118827	0.757178003
498	14.05714286	18.91428571	9.785714286	0.5	47.5	67.3	NA	74.15	0.46674402	0.514383402	0.733504966	0.746617418	0.765258899
584	22.7	28.3	16.7	0	0	0	NA	2.02	1.71069429	1.468566399	1.73526172	1.807643543	1.650625208
644	29	35	23.3	7.1	7.1	7.1	NA	7.1	1.71069429	1.904383258	1.792334976	1.928415665	1.937900441
